Date,Open,High,Low,Close,Adj Close,Volume
2023-03-07,1366.160034,1369.349976,1356.189941,1356.719971,1356.719971,153604500
2023-03-08,1355.849976,1359.229980,1350.770020,1356.359985,1356.359985,161600800
2023-03-09,1355.079956,1356.959961,1344.859985,1353.099976,1353.099976,146774900
2023-03-10,1348.859985,1348.859985,1327.109985,1337.469971,1337.469971,224050000
2023-03-13,1337.689941,1337.689941,1294.119995,1303.229980,1303.229980,308011500
2023-03-14,1303.310059,1328.000000,1299.369995,1324.280029,1324.280029,235895700
2023-03-15,1323.520020,1323.520020,1277.810059,1281.209961,1281.209961,378979200
2023-03-16,1284.729980,1308.359985,1276.209961,1302.930054,1302.930054,308540800
2023-03-17,1304.770020,1320.520020,1283.579956,1289.390015,1289.390015,515610000
2023-03-20,1288.390015,1309.209961,1266.599976,1303.560059,1303.560059,284804200
2023-03-21,1304.719971,1327.910034,1304.719971,1319.260010,1319.260010,214621600
2023-03-22,1319.270020,1329.479980,1315.500000,1325.339966,1325.339966,172443500
2023-03-23,1324.560059,1331.630005,1316.859985,1329.530029,1329.530029,170632600
2023-03-24,1328.150024,1328.150024,1298.770020,1307.699951,1307.699951,270627100
2023-03-27,1308.560059,1324.609985,1308.560059,1316.250000,1316.250000,184422100
2023-03-28,1318.420044,1329.520020,1313.699951,1317.689941,1317.689941,163867400
2023-03-29,1318.040039,1338.979980,1318.040039,1337.569946,1337.569946,171921100
2023-03-30,1337.569946,1354.880005,1337.569946,1350.530029,1350.530029,175670800
2023-03-31,1350.869995,1363.069946,1350.170044,1360.260010,1360.260010,189953200
2023-04-03,1360.890015,1368.339966,1360.589966,1365.459961,1365.459961,168317900
2023-04-04,1366.540039,1373.540039,1363.109985,1363.599976,1363.599976,161621300
2023-04-05,1363.290039,1364.329956,1354.119995,1357.459961,1357.459961,161392500
2023-04-06,1357.849976,1361.599976,1355.939941,1359.079956,1359.079956,152472900
2023-04-11,1360.609985,1369.699951,1360.609985,1367.949951,1367.949951,168439400
2023-04-12,1366.890015,1377.819946,1360.790039,1363.780029,1363.780029,152905800
2023-04-13,1368.449951,1376.800049,1368.250000,1376.310059,1376.310059,141102700
2023-04-14,1376.479980,1384.410034,1376.479980,1381.520020,1381.520020,172191300
2023-04-17,1382.500000,1386.869995,1378.030029,1378.380005,1378.380005,161917000
2023-04-18,1378.699951,1387.989990,1378.699951,1383.420044,1383.420044,158245000
2023-04-19,1383.109985,1384.189941,1380.189941,1383.209961,1383.209961,152248600
2023-04-20,1382.959961,1383.369995,1376.579956,1382.560059,1382.560059,154710900
